Комиссия,УИК,"Число избирателей, внесенных в список избирателей на момент окончания голосования","Число избирательных бюллетеней, полученных участковой избирательной комиссией","Число избирательных бюллетеней, выданных избирателям в помещении для голосования в день голосования","Число избирательных бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования",Число погашенных избирательных бюллетеней,"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования","Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования",Число недействительных избирательных бюллетеней,Число действительных избирательных бюллетеней,Число утраченных избирательных бюллетеней,"Число избирательных бюллетеней, не учтенных при получении",Амосов Михаил Иванович,Амосов Михаил Иванович %,Беглов Александр Дмитриевич,Беглов Александр Дмитриевич %,Тихонова Надежда Геннадьевна,Тихонова Надежда Геннадьевна %
Территориальная избирательная комиссия №5,УИК №1527,2460,2300,661,5,1634,5,656,21,640,0,0,134,20.27,376,56.88,130,19.67
Территориальная избирательная комиссия №5,УИК №1528,2313,2200,560,0,1640,0,560,11,549,0,0,50,8.93,442,78.93,57,10.18
Территориальная избирательная комиссия №5,УИК №1529,2415,2300,714,8,1578,8,714,18,704,0,0,94,13.02,509,70.50,101,13.99
Территориальная избирательная комиссия №5,УИК №1530,2541,2400,699,5,1696,5,699,23,681,0,0,67,9.52,533,75.71,81,11.51
Территориальная избирательная комиссия №5,УИК №1531,2291,2300,588,7,1705,7,588,15,580,0,0,27,4.54,498,83.70,55,9.24
Территориальная избирательная комиссия №5,УИК №1532,2792,2700,695,4,2001,4,689,19,674,0,0,99,14.29,473,68.25,102,14.72
Территориальная избирательная комиссия №5,УИК №1533,2399,2300,525,2,1773,2,525,15,512,0,0,86,16.32,244,46.30,182,34.54
Территориальная избирательная комиссия №5,УИК №1534,2741,2600,672,1,1927,1,672,27,646,0,0,113,16.79,322,47.85,211,31.35
Территориальная избирательная комиссия №5,УИК №1535,1647,1400,437,2,961,2,437,11,428,0,0,21,4.78,359,81.78,48,10.93
Территориальная избирательная комиссия №5,УИК №1536,2497,2400,675,5,1720,5,671,20,656,0,0,74,10.95,479,70.86,103,15.24
Территориальная избирательная комиссия №5,УИК №1537,1103,900,244,3,653,3,244,6,241,0,0,19,7.69,198,80.16,24,9.72
Территориальная избирательная комиссия №5,УИК №1538,1875,1700,572,2,1126,2,572,17,557,0,0,141,24.56,226,39.37,190,33.10
Территориальная избирательная комиссия №5,УИК №1539,1022,2000,673,333,994,333,671,3,1001,0,0,67,6.67,845,84.16,89,8.86
Территориальная избирательная комиссия №5,УИК №1540,1114,1500,862,234,404,234,862,19,1077,0,0,82,7.48,822,75.00,173,15.78
Территориальная избирательная комиссия №6,УИК №1058,1919,1500,481,9,1010,8,480,8,480,0,0,87,17.83,320,65.57,73,14.96
Территориальная избирательная комиссия №6,УИК №1059,2247,2000,589,15,1396,15,589,19,585,0,0,102,16.89,383,63.41,100,16.56
Территориальная избирательная комиссия №6,УИК №1060,1957,1500,485,13,1002,13,485,16,482,0,0,91,18.27,318,63.86,73,14.66
Территориальная избирательная комиссия №6,УИК №1061,1865,1500,489,7,1004,7,482,15,474,0,0,68,13.91,298,60.94,108,22.09
Территориальная избирательная комиссия №6,УИК №1062,2039,2000,517,15,1468,15,516,14,517,0,0,84,15.82,330,62.15,103,19.40
Территориальная избирательная комиссия №6,УИК №1063,1804,1500,395,3,1102,3,395,15,383,0,0,60,15.08,240,60.30,83,20.85
Территориальная избирательная комиссия №6,УИК №1064,1959,1500,456,8,1036,8,456,19,445,0,0,89,19.18,264,56.90,92,19.83
Территориальная избирательная комиссия №6,УИК №1065,1838,1500,476,25,999,25,473,18,480,0,0,68,13.65,310,62.25,102,20.48
Территориальная избирательная комиссия №6,УИК №1066,1850,1800,507,38,1255,38,502,9,531,0,0,65,12.04,376,69.63,90,16.67
Территориальная избирательная комиссия №6,УИК №1067,1752,1500,476,4,1020,4,475,9,470,0,0,75,15.66,324,67.64,71,14.82
Территориальная избирательная комиссия №6,УИК №1068,1061,1000,295,6,699,6,295,7,294,0,0,58,19.27,186,61.79,50,16.61
Территориальная избирательная комиссия №6,УИК №1069,2182,2000,549,8,1443,8,549,18,539,0,0,84,15.08,348,62.48,107,19.21
Территориальная избирательная комиссия №6,УИК №1070,1659,1500,385,8,1107,8,385,9,384,0,0,69,17.56,249,63.36,66,16.79
Территориальная избирательная комиссия №6,УИК №1071,2156,2000,465,3,1532,3,464,9,458,0,0,99,21.20,258,55.25,101,21.63
Территориальная избирательная комиссия №6,УИК №1072,2197,2000,479,7,1514,7,479,5,481,0,0,96,19.75,281,57.82,104,21.40
Территориальная избирательная комиссия №6,УИК №1073,1730,1500,469,6,1025,6,468,11,463,0,0,106,22.36,278,58.65,79,16.67
Территориальная избирательная комиссия №6,УИК №1074,1724,1500,410,5,1085,5,408,12,401,0,0,73,17.68,251,60.77,77,18.64
Территориальная избирательная комиссия №6,УИК №1075,1822,1500,450,3,1047,3,450,7,446,0,0,89,19.65,283,62.47,74,16.34
Территориальная избирательная комиссия №6,УИК №1076,1893,1500,507,7,986,7,507,15,499,0,0,80,15.56,330,64.20,89,17.32
Территориальная избирательная комиссия №6,УИК №1077,2539,2000,633,8,1359,8,633,13,628,0,0,110,17.16,415,64.74,103,16.07
Территориальная избирательная комиссия №6,УИК №1078,1849,1500,391,3,1106,3,391,13,381,0,0,72,18.27,231,58.63,78,19.80
Территориальная избирательная комиссия №6,УИК №1079,1818,1500,444,19,1037,19,444,12,451,0,0,60,12.96,313,67.60,78,16.85
Территориальная избирательная комиссия №6,УИК №1080,1985,2000,548,10,1442,10,547,23,534,0,0,84,15.08,342,61.40,108,19.39
Территориальная избирательная комиссия №6,УИК №1081,2215,2000,620,5,1375,5,620,6,619,0,0,93,14.88,418,66.88,108,17.28
Территориальная избирательная комиссия №6,УИК №1082,2193,2000,551,14,1435,14,551,9,556,0,0,84,14.87,370,65.49,102,18.05
Территориальная избирательная комиссия №6,УИК №1085,4364,3000,953,4,2043,4,952,21,935,0,0,165,17.26,523,54.71,247,25.84
Территориальная избирательная комиссия №6,УИК №1086,1920,1500,495,9,996,9,495,13,491,0,0,78,15.48,320,63.49,93,18.45
Территориальная избирательная комиссия №6,УИК №1087,2146,2000,488,13,1499,12,483,18,477,0,0,76,15.35,318,64.24,83,16.77
Территориальная избирательная комиссия №6,УИК №1088,2398,2000,1421,4,575,4,1416,64,1356,0,0,221,15.56,776,54.65,359,25.28
Территориальная избирательная комиссия №6,УИК №1089,1484,1500,327,11,1162,11,327,7,331,0,0,43,12.72,230,68.05,58,17.16
Территориальная избирательная комиссия №6,УИК №1090,1500,1200,325,1,874,1,325,15,311,0,0,50,15.34,202,61.96,59,18.10
Территориальная избирательная комиссия №6,УИК №1091,1713,1500,432,8,1060,8,431,16,423,0,0,46,10.48,295,67.20,82,18.68
Территориальная избирательная комиссия №6,УИК №1092,2079,2000,523,13,1464,13,523,19,517,0,0,74,13.81,351,65.49,92,17.16
Территориальная избирательная комиссия №6,УИК №1093,2441,2000,571,6,1423,6,570,11,565,0,0,103,17.88,361,62.67,101,17.53
Территориальная избирательная комиссия №6,УИК №1094,2532,2500,652,14,1834,14,649,10,653,0,0,127,19.16,336,50.68,190,28.66
Территориальная избирательная комиссия №6,УИК №1095,1968,2000,519,8,1473,8,518,17,509,0,0,83,15.78,339,64.45,87,16.54
Территориальная избирательная комиссия №6,УИК №1096,1909,1500,451,16,1033,16,451,14,453,0,0,70,14.99,301,64.45,82,17.56
Территориальная избирательная комиссия №6,УИК №1097,1839,1500,438,13,1049,13,438,8,443,0,0,74,16.41,284,62.97,85,18.85
Территориальная избирательная комиссия №6,УИК №1098,1995,2000,542,8,1450,8,542,12,538,0,0,95,17.27,360,65.45,83,15.09
Территориальная избирательная комиссия №6,УИК №1099,2696,2500,741,18,1741,18,741,20,739,0,0,132,17.39,498,65.61,109,14.36
Территориальная избирательная комиссия №6,УИК №1100,1671,1500,396,6,1098,6,396,16,386,0,0,64,15.92,246,61.19,76,18.91
Территориальная избирательная комиссия №6,УИК №1101,1825,1500,455,9,1036,9,455,12,452,0,0,65,14.01,292,62.93,95,20.47
Территориальная избирательная комиссия №6,УИК №1102,1866,1500,446,8,1046,8,446,13,441,0,0,72,15.86,285,62.78,84,18.50
Территориальная избирательная комиссия №6,УИК №1103,2185,2000,484,8,1508,8,484,12,480,0,0,64,13.01,323,65.65,93,18.90
Территориальная избирательная комиссия №6,УИК №1104,1836,1500,480,7,1013,7,479,14,472,0,0,83,17.08,296,60.91,93,19.14
Территориальная избирательная комиссия №6,УИК №1105,2174,2000,501,9,1490,9,501,6,504,0,0,79,15.49,347,68.04,78,15.29
Территориальная избирательная комиссия №6,УИК №1106,2203,2000,542,15,1443,15,542,6,551,0,0,96,17.24,370,66.43,85,15.26
Территориальная избирательная комиссия №6,УИК №1107,2287,2000,490,9,1501,9,490,11,488,0,0,61,12.22,335,67.13,92,18.44
Территориальная избирательная комиссия №6,УИК №1108,2301,2000,595,10,1395,10,595,18,587,0,0,79,13.06,389,64.30,119,19.67
Территориальная избирательная комиссия №6,УИК №1109,2156,2100,499,5,1596,5,499,9,495,0,0,85,16.87,321,63.69,89,17.66
Территориальная избирательная комиссия №6,УИК №1110,2253,2000,448,6,1546,6,448,11,443,0,0,79,17.40,289,63.66,75,16.52
Территориальная избирательная комиссия №6,УИК №1111,2007,1500,484,6,1010,6,484,6,484,0,0,89,18.16,319,65.10,76,15.51
Территориальная избирательная комиссия №6,УИК №1112,2943,2500,740,3,1757,3,740,31,712,0,0,153,20.59,385,51.82,174,23.42
Территориальная избирательная комиссия №6,УИК №1113,1832,1500,481,4,1015,4,481,15,470,0,0,90,18.56,300,61.86,80,16.49
Территориальная избирательная комиссия №6,УИК №1114,2009,1500,463,9,1028,9,463,9,463,0,0,65,13.77,320,67.80,78,16.53
Территориальная избирательная комиссия №6,УИК №1115,2228,2000,549,6,1445,6,549,8,547,0,0,82,14.77,377,67.93,88,15.86
Территориальная избирательная комиссия №6,УИК №1116,2371,2000,636,8,1356,8,636,9,635,0,0,130,20.19,380,59.01,125,19.41
Территориальная избирательная комиссия №6,УИК №1117,2333,2000,579,18,1403,18,579,9,588,0,0,70,11.73,418,70.02,100,16.75
Территориальная избирательная комиссия №6,УИК №1118,1816,1500,394,6,1100,6,394,12,388,0,0,64,16.00,254,63.50,70,17.50
Территориальная избирательная комиссия №6,УИК №1119,2118,2000,543,17,1440,17,543,20,540,0,0,109,19.46,331,59.11,100,17.86
Территориальная избирательная комиссия №6,УИК №1120,2166,2000,529,3,1468,3,529,15,517,0,0,80,15.04,361,67.86,76,14.29
Территориальная избирательная комиссия №6,УИК №1121,2138,2000,549,18,1433,18,549,13,554,0,0,88,15.52,363,64.02,103,18.17
Территориальная избирательная комиссия №6,УИК №1122,1802,1500,409,5,1086,5,409,8,406,0,0,48,11.59,269,64.98,89,21.50
Территориальная избирательная комиссия №6,УИК №1123,2145,2000,405,3,1592,3,405,10,398,0,0,64,15.69,246,60.29,88,21.57
Территориальная избирательная комиссия №6,УИК №1124,2714,2500,637,3,1860,3,637,15,625,0,0,184,28.75,283,44.22,158,24.69
Территориальная избирательная комиссия №6,УИК №1125,1852,1500,390,8,1102,8,390,12,386,0,0,55,13.82,254,63.82,77,19.35
Территориальная избирательная комиссия №6,УИК №1126,1923,1500,492,10,998,10,492,21,481,0,0,73,14.54,314,62.55,94,18.73
Территориальная избирательная комиссия №6,УИК №1127,2430,2000,605,17,1378,17,605,7,615,0,0,86,13.83,412,66.24,117,18.81
Территориальная избирательная комиссия №6,УИК №1128,2704,2500,541,7,1952,7,541,19,529,0,0,109,19.89,307,56.02,113,20.62
Территориальная избирательная комиссия №6,УИК №1129,2208,2000,558,3,1439,3,555,10,548,0,0,106,18.99,311,55.73,131,23.48
Территориальная избирательная комиссия №6,УИК №1130,3058,3000,822,7,2171,7,821,18,810,0,0,138,16.67,466,56.28,206,24.88
Территориальная избирательная комиссия №6,УИК №1131,2804,2500,729,3,1768,3,729,14,718,0,0,131,17.90,415,56.69,172,23.50
Территориальная избирательная комиссия №6,УИК №1132,3064,3000,743,4,2253,4,742,24,722,0,0,121,16.22,418,56.03,183,24.53
Территориальная избирательная комиссия №6,УИК №1133,1674,1500,383,17,1100,17,383,7,393,0,0,72,18.00,234,58.50,87,21.75
Территориальная избирательная комиссия №6,УИК №1134,2617,2500,519,9,1972,9,519,9,519,0,0,84,15.91,320,60.61,115,21.78
Территориальная избирательная комиссия №6,УИК №1135,3814,3000,781,4,2215,4,781,12,773,0,0,215,27.39,343,43.69,215,27.39
Территориальная избирательная комиссия №6,УИК №1136,3619,3000,896,3,2101,3,893,22,874,0,0,241,26.90,402,44.87,231,25.78
Территориальная избирательная комиссия №6,УИК №1137,3010,2500,688,0,1812,0,687,13,674,0,0,170,24.75,323,47.02,181,26.35
Территориальная избирательная комиссия №6,УИК №1138,1817,1500,443,2,1055,2,443,12,433,0,0,115,25.84,219,49.21,99,22.25
Территориальная избирательная комиссия №6,УИК №1139,1848,1500,317,3,1180,3,317,10,310,0,0,53,16.56,186,58.13,71,22.19
Территориальная избирательная комиссия №7,УИК №633,2704,2000,1169,11,820,11,1004,32,983,0,0,95,9.36,785,77.34,103,10.15
Территориальная избирательная комиссия №7,УИК №634,2487,2000,1047,7,946,7,1047,10,1044,0,0,80,7.59,869,82.45,95,9.01
Территориальная избирательная комиссия №7,УИК №635,2090,1500,814,7,679,7,814,15,806,0,0,66,8.04,670,81.61,70,8.53
Территориальная избирательная комиссия №7,УИК №636,2075,1500,540,4,956,4,540,12,532,0,0,105,19.30,330,60.66,97,17.83
Территориальная избирательная комиссия №7,УИК №637,2323,2000,803,7,1190,7,800,8,799,0,0,77,9.54,625,77.45,97,12.02
Территориальная избирательная комиссия №7,УИК №638,2234,2000,940,4,1056,4,934,12,926,0,0,100,10.66,757,80.70,69,7.36
Территориальная избирательная комиссия №7,УИК №639,2474,2000,825,21,1154,21,825,17,829,0,0,75,8.87,651,76.95,103,12.17
Территориальная избирательная комиссия №7,УИК №640,2421,2000,1010,25,965,25,981,11,995,0,0,67,6.66,852,84.69,76,7.55
Территориальная избирательная комиссия №7,УИК №641,1839,1500,789,4,707,4,785,51,738,0,0,102,12.93,563,71.36,73,9.25
Территориальная избирательная комиссия №7,УИК №642,2479,2000,971,19,1010,19,971,22,968,0,0,39,3.94,804,81.21,125,12.63
Территориальная избирательная комиссия №7,УИК №643,2828,2000,1114,1,885,1,994,20,975,0,0,76,7.64,815,81.91,84,8.44
Территориальная избирательная комиссия №7,УИК №644,2001,1500,707,6,787,6,695,10,691,0,0,68,9.70,554,79.03,69,9.84
Территориальная избирательная комиссия №7,УИК №757,2153,1500,533,6,961,6,532,20,518,0,0,72,13.38,333,61.90,113,21.00
Территориальная избирательная комиссия №7,УИК №758,1960,1500,503,11,986,11,502,10,503,0,0,88,17.15,316,61.60,99,19.30
Территориальная избирательная комиссия №7,УИК №759,1317,1000,364,10,626,10,364,10,364,0,0,69,18.45,242,64.71,53,14.17
Территориальная избирательная комиссия №7,УИК №760,1873,1500,480,4,1016,4,480,7,477,0,0,96,19.83,297,61.36,84,17.36
Территориальная избирательная комиссия №7,УИК №761,2031,1500,544,10,946,10,544,16,538,0,0,95,17.15,331,59.75,112,20.22
Территориальная избирательная комиссия №7,УИК №762,2733,2000,649,12,1339,12,649,30,631,0,0,90,13.62,389,58.85,152,22.99
Территориальная избирательная комиссия №7,УИК №763,2192,1500,629,16,855,16,629,15,630,0,0,100,15.50,419,64.96,111,17.21
Территориальная избирательная комиссия №7,УИК №764,1065,1000,287,6,707,6,287,17,276,0,0,33,11.26,188,64.16,55,18.77
Территориальная избирательная комиссия №7,УИК №765,2607,2000,616,8,1376,8,615,15,608,0,0,112,17.98,376,60.35,120,19.26
Территориальная избирательная комиссия №7,УИК №766,2380,2000,667,12,1321,12,667,21,658,0,0,103,15.17,435,64.06,120,17.67
Территориальная избирательная комиссия №7,УИК №767,2215,2000,606,5,1389,5,605,21,589,0,0,102,16.72,361,59.18,126,20.66
Территориальная избирательная комиссия №7,УИК №768,2053,2000,615,7,1378,7,612,20,599,0,0,115,18.58,347,56.06,137,22.13
Территориальная избирательная комиссия №7,УИК №769,2866,2000,786,8,1206,8,778,14,772,0,0,135,17.18,444,56.49,193,24.55
Территориальная избирательная комиссия №7,УИК №770,1389,1000,339,11,650,11,339,2,348,0,0,52,14.86,218,62.29,78,22.29
Территориальная избирательная комиссия №7,УИК №771,1120,1000,283,2,715,2,283,8,277,0,0,59,20.70,157,55.09,61,21.40
Территориальная избирательная комиссия №7,УИК №772,2082,1500,494,13,993,13,494,20,487,0,0,87,17.16,290,57.20,110,21.70
Территориальная избирательная комиссия №7,УИК №773,2013,1500,497,9,994,9,497,15,491,0,0,79,15.61,309,61.07,103,20.36
Территориальная избирательная комиссия №7,УИК №774,1829,1500,444,7,1049,7,442,13,436,0,0,79,17.59,260,57.91,97,21.60
Территориальная избирательная комиссия №7,УИК №775,2363,2000,570,5,1425,5,570,16,559,0,0,116,20.17,342,59.48,101,17.57
Территориальная избирательная комиссия №7,УИК №776,2300,2000,664,8,1328,8,664,24,648,0,0,121,18.01,390,58.04,137,20.39
Территориальная избирательная комиссия №7,УИК №777,1725,1500,468,4,1028,4,466,10,460,0,0,95,20.21,282,60.00,83,17.66
Территориальная избирательная комиссия №7,УИК №778,1603,1500,448,7,1045,7,443,9,441,0,0,89,19.78,257,57.11,95,21.11
Территориальная избирательная комиссия №7,УИК №779,1542,1500,371,5,1124,5,369,12,362,0,0,58,15.51,236,63.10,68,18.18
Территориальная избирательная комиссия №7,УИК №780,1615,1500,408,10,1082,10,408,8,410,0,0,48,11.48,289,69.14,73,17.46
Территориальная избирательная комиссия №7,УИК №781,2351,2000,633,18,1349,18,633,25,626,0,0,103,15.82,418,64.21,105,16.13
Территориальная избирательная комиссия №7,УИК №782,1380,1000,345,3,652,3,345,9,339,0,0,35,10.06,244,70.11,60,17.24
Территориальная избирательная комиссия №7,УИК №783,2366,2000,580,13,1407,13,580,12,581,0,0,86,14.50,374,63.07,121,20.40
Территориальная избирательная комиссия №7,УИК №784,1845,1500,480,6,1014,6,480,14,472,0,0,75,15.43,312,64.20,85,17.49
Территориальная избирательная комиссия №7,УИК №785,2042,2000,530,14,1456,14,526,11,529,0,0,94,17.41,330,61.11,105,19.44
Территориальная избирательная комиссия №7,УИК №786,1244,1000,332,14,654,14,332,3,343,0,0,54,15.61,222,64.16,67,19.36
Территориальная избирательная комиссия №7,УИК №787,1851,1500,612,16,872,16,612,15,613,0,0,124,19.75,383,60.99,106,16.88
Территориальная избирательная комиссия №7,УИК №788,2542,2000,790,5,1205,5,788,21,772,0,0,175,22.07,467,58.89,130,16.39
Территориальная избирательная комиссия №7,УИК №789,1979,1500,470,11,1019,11,468,10,469,0,0,94,19.62,289,60.33,86,17.95
Территориальная избирательная комиссия №7,УИК №790,2281,2000,667,10,1323,10,667,17,660,0,0,135,19.94,417,61.60,108,15.95
Территориальная избирательная комиссия №7,УИК №791,2384,2000,623,7,1370,7,623,25,605,0,0,116,18.41,383,60.79,106,16.83
Территориальная избирательная комиссия №7,УИК №792,1959,1500,515,11,974,11,515,21,505,0,0,104,19.77,315,59.89,86,16.35
Территориальная избирательная комиссия №7,УИК №793,2205,2000,541,27,1432,27,540,9,558,0,0,102,17.99,336,59.26,120,21.16
Территориальная избирательная комиссия №7,УИК №794,1830,1500,448,3,1049,3,441,11,433,0,0,92,20.72,272,61.26,69,15.54
Территориальная избирательная комиссия №7,УИК №795,2445,2000,580,13,1407,13,580,21,572,0,0,109,18.38,366,61.72,97,16.36
Территориальная избирательная комиссия №7,УИК №796,2667,2000,624,3,1373,3,621,14,610,0,0,109,17.47,373,59.78,128,20.51
Территориальная избирательная комиссия №7,УИК №797,1955,1500,442,7,1051,7,442,14,435,0,0,74,16.48,282,62.81,79,17.59
Территориальная избирательная комиссия №7,УИК №798,2013,1500,495,6,999,6,495,13,488,0,0,107,21.36,300,59.88,81,16.17
Территориальная избирательная комиссия №7,УИК №799,1960,1500,393,3,1104,3,393,7,389,0,0,69,17.42,268,67.68,52,13.13
Территориальная избирательная комиссия №7,УИК №800,2164,2000,604,2,1394,2,604,3,603,0,0,81,13.37,435,71.78,87,14.36
Территориальная избирательная комиссия №7,УИК №801,1687,1500,543,5,952,5,542,21,526,0,0,73,13.35,364,66.54,89,16.27
Территориальная избирательная комиссия №7,УИК №802,2388,2000,692,11,1297,11,650,20,641,0,0,127,19.21,404,61.12,110,16.64
Территориальная избирательная комиссия №7,УИК №803,2248,2000,583,2,1415,2,569,16,555,0,0,113,19.79,347,60.77,95,16.64
Территориальная избирательная комиссия №7,УИК №804,2252,2000,607,88,1305,88,603,20,671,0,0,106,15.34,479,69.32,86,12.45
Территориальная избирательная комиссия №7,УИК №805,1868,1500,464,21,1015,21,464,9,476,0,0,60,12.37,337,69.48,79,16.29
Территориальная избирательная комиссия №7,УИК №806,2387,2000,712,4,1284,4,712,18,698,0,0,91,12.71,497,69.41,110,15.36
Территориальная избирательная комиссия №7,УИК №807,2249,2000,629,28,1343,28,628,8,648,0,0,86,13.11,467,71.19,95,14.48
Территориальная избирательная комиссия №7,УИК №808,1993,1500,480,20,1000,6,469,15,460,0,0,70,14.74,315,66.32,75,15.79
Территориальная избирательная комиссия №7,УИК №809,2245,2000,613,9,1378,9,613,10,612,0,0,124,19.94,374,60.13,114,18.33
Территориальная избирательная комиссия №7,УИК №810,2619,2000,771,8,1221,8,771,28,751,0,0,135,17.33,484,62.13,132,16.94
Территориальная избирательная комиссия №7,УИК №811,2677,2000,741,6,1253,6,736,22,720,0,0,134,18.06,440,59.30,146,19.68
Территориальная избирательная комиссия №7,УИК №812,2133,1500,594,6,900,6,594,0,600,0,0,48,8.00,501,83.50,51,8.50
Территориальная избирательная комиссия №7,УИК №813,1851,1500,496,4,1000,4,496,15,485,0,0,69,13.80,333,66.60,83,16.60
Территориальная избирательная комиссия №7,УИК №814,2335,2000,622,3,1375,3,622,21,604,0,0,147,23.52,321,51.36,136,21.76
Территориальная избирательная комиссия №7,УИК №815,275,241,207,23,11,23,207,8,222,0,0,16,6.96,173,75.22,33,14.35
Территориальная избирательная комиссия №8,УИК №1674,942,650,300,20,330,20,299,21,298,0,0,52,16.30,203,63.64,43,13.48
Территориальная избирательная комиссия №8,УИК №1675,815,600,273,7,320,7,273,12,268,0,0,43,15.36,179,63.93,46,16.43
Территориальная избирательная комиссия №8,УИК №1676,1990,1500,745,10,745,10,745,27,728,0,0,115,15.23,496,65.70,117,15.50
Территориальная избирательная комиссия №8,УИК №1677,1485,1100,560,29,511,29,560,26,563,0,0,97,16.47,363,61.63,103,17.49
Территориальная избирательная комиссия №8,УИК №1678,550,400,174,7,219,7,174,7,174,0,0,24,13.26,131,72.38,19,10.50
Территориальная избирательная комиссия №8,УИК №1679,1672,1200,623,12,565,12,622,35,599,0,0,94,14.83,424,66.88,81,12.78
Территориальная избирательная комиссия №8,УИК №1680,1864,1300,666,42,592,42,663,35,670,0,0,89,12.62,474,67.23,107,15.18
Территориальная избирательная комиссия №8,УИК №1681,224,280,140,71,69,71,140,3,208,0,0,5,2.37,198,93.84,5,2.37
Территориальная избирательная комиссия №8,УИК №1682,2661,2000,850,14,1136,14,850,23,841,0,0,104,12.04,599,69.33,138,15.97
Территориальная избирательная комиссия №8,УИК №1683,2601,2000,882,31,1087,31,882,31,882,0,0,149,16.32,606,66.37,127,13.91
Территориальная избирательная комиссия №8,УИК №1684,2805,2000,924,25,1051,25,923,35,913,0,0,145,15.30,650,68.57,118,12.45
Территориальная избирательная комиссия №8,УИК №1685,1509,1100,448,23,629,23,447,14,456,0,0,72,15.32,311,66.17,73,15.53
Территориальная избирательная комиссия №8,УИК №1686,2174,2000,1119,16,865,16,1119,55,1080,0,0,234,20.62,584,51.45,262,23.08
Территориальная избирательная комиссия №8,УИК №1687,1929,1500,652,16,832,16,652,25,643,0,0,88,13.17,452,67.66,103,15.42
Территориальная избирательная комиссия №8,УИК №1688,1746,1500,630,25,845,25,630,25,630,0,0,103,15.73,440,67.18,87,13.28
Территориальная избирательная комиссия №8,УИК №1689,2346,2000,777,29,1194,29,776,24,781,0,0,108,13.42,572,71.06,101,12.55
Территориальная избирательная комиссия №8,УИК №1690,2166,1600,688,23,889,23,688,17,694,0,0,122,17.16,484,68.07,88,12.38
Территориальная избирательная комиссия №8,УИК №1691,1749,1700,609,17,1074,17,606,13,610,0,0,79,12.68,450,72.23,81,13.00
Территориальная избирательная комиссия №8,УИК №1692,494,500,398,53,49,53,398,53,398,0,0,38,8.43,323,71.62,37,8.20
Территориальная избирательная комиссия №8,УИК №1693,2537,2000,937,15,1048,15,936,19,932,0,0,130,13.67,641,67.40,161,16.93
Территориальная избирательная комиссия №8,УИК №1694,2267,1600,721,21,858,21,719,33,707,0,0,108,14.59,492,66.49,107,14.46
Территориальная избирательная комиссия №8,УИК №1695,2492,2000,776,31,1193,31,776,31,776,0,0,123,15.24,533,66.05,120,14.87
Территориальная избирательная комиссия №8,УИК №1696,2355,2000,831,27,1142,27,828,32,823,0,0,151,17.66,539,63.04,133,15.56
Территориальная избирательная комиссия №8,УИК №1697,2022,1500,581,16,903,16,581,22,575,0,0,96,16.08,381,63.82,98,16.42
Территориальная избирательная комиссия №8,УИК №1698,2214,1600,695,21,884,21,695,30,686,0,0,124,17.32,446,62.29,116,16.20
Территориальная избирательная комиссия №8,УИК №1699,3264,2300,1772,8,520,8,1770,47,1731,0,0,259,14.57,1087,61.14,385,21.65
Территориальная избирательная комиссия №8,УИК №1700,2696,2000,928,15,1057,15,927,29,913,0,0,138,14.65,636,67.52,139,14.76
Территориальная избирательная комиссия №8,УИК №1701,1398,1000,256,17,727,17,256,16,257,0,0,51,18.68,157,57.51,49,17.95
Территориальная избирательная комиссия №8,УИК №1702,390,400,353,37,10,37,353,27,363,0,0,25,6.41,296,75.90,42,10.77
Территориальная избирательная комиссия №8,УИК №1703,2979,2000,1034,11,955,11,1031,32,1010,0,0,191,18.33,594,57.01,225,21.59
Территориальная избирательная комиссия №8,УИК №1706,2562,2000,857,19,1124,19,853,30,842,0,0,108,12.39,616,70.64,118,13.53
Территориальная избирательная комиссия №8,УИК №1708,2827,2000,888,26,1086,26,888,31,883,0,0,105,11.49,639,69.91,139,15.21
Территориальная избирательная комиссия №8,УИК №1709,1798,1500,524,14,962,14,524,27,511,0,0,66,12.27,374,69.52,71,13.20
Территориальная избирательная комиссия №8,УИК №1710,1295,1000,416,9,575,9,415,15,409,0,0,37,8.73,325,76.65,47,11.08
Территориальная избирательная комиссия №8,УИК №1711,2282,2000,724,17,1259,17,724,19,722,0,0,73,9.85,547,73.82,102,13.77
Территориальная избирательная комиссия №8,УИК №1712,1640,1500,583,9,908,9,583,12,580,0,0,61,10.30,432,72.97,87,14.70
Территориальная избирательная комиссия №8,УИК №1713,2081,1500,658,21,821,21,657,15,663,0,0,71,10.47,503,74.19,89,13.13
Территориальная избирательная комиссия №8,УИК №1714,1666,1500,632,16,852,16,632,28,620,0,0,70,10.80,461,71.14,89,13.73
Территориальная избирательная комиссия №8,УИК №1715,1706,1500,619,13,868,13,619,20,612,0,0,58,9.18,454,71.84,100,15.82
Территориальная избирательная комиссия №8,УИК №1716,1526,1100,417,23,660,23,417,13,427,0,0,49,11.14,321,72.95,57,12.95
Территориальная избирательная комиссия №8,УИК №1717,1279,1000,425,16,559,16,425,17,424,0,0,68,15.42,301,68.25,55,12.47
Территориальная избирательная комиссия №8,УИК №1718,2257,1600,782,17,801,17,781,25,773,0,0,66,8.27,593,74.31,114,14.29
Территориальная избирательная комиссия №8,УИК №1719,1442,1000,505,5,490,5,505,18,492,0,0,51,10.00,363,71.18,78,15.29
